[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:212400 18-07-31 03:09:34][HTSNetworkProfile] log network(AFNetworking) total_speed(count:550):1772.65 KB/s, recent_speed(count:10):1337.68 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:212366 18-07-31 03:09:44][HTSNetworkProfile] log network(AFNetworking) total_speed(count:550):1772.65 KB/s, recent_speed(count:10):1337.68 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:212400 18-07-31 03:09:54][HTSNetworkProfile] log network(AFNetworking) total_speed(count:550):1772.65 KB/s, recent_speed(count:10):1337.68 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:212474 18-07-31 03:10:04][HTSNetworkProfile] log network(AFNetworking) total_speed(count:550):1772.65 KB/s, recent_speed(count:10):1337.68 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:212526 18-07-31 03:10:14][HTSNetworkProfile] log network(AFNetworking) total_speed(count:550):1772.65 KB/s, recent_speed(count:10):1337.68 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:212526 18-07-31 03:10:24][HTSNetworkProfile] log network(AFNetworking) total_speed(count:550):1772.65 KB/s, recent_speed(count:10):1337.68 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:212525 18-07-31 03:10:34][HTSNetworkProfile] log network(AFNetworking) total_speed(count:550):1772.65 KB/s, recent_speed(count:10):1337.68 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:212605 18-07-31 03:10:44][HTSNetworkProfile] log network(AFNetworking) total_speed(count:550):1772.65 KB/s, recent_speed(count:10):1337.68 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:212525 18-07-31 03:10:54][HTSNetworkProfile] log network(AFNetworking) total_speed(count:550):1772.65 KB/s, recent_speed(count:10):1337.68 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:212525 18-07-31 03:11:04][HTSNetworkProfile] log network(AFNetworking) total_speed(count:550):1772.65 KB/s, recent_speed(count:10):1337.68 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:212653 18-07-31 03:11:14][HTSNetworkProfile] log network(AFNetworking) total_speed(count:550):1772.65 KB/s, recent_speed(count:10):1337.68 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:212605 18-07-31 03:11:24][HTSNetworkProfile] log network(AFNetworking) total_speed(count:550):1772.65 KB/s, recent_speed(count:10):1337.68 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:212525 18-07-31 03:11:34][HTSNetworkProfile] log network(AFNetworking) total_speed(count:551):1771.17 KB/s, recent_speed(count:10):1319.97 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:212748 18-07-31 03:11:44][HTSNetworkProfile] log network(AFNetworking) total_speed(count:551):1771.17 KB/s, recent_speed(count:10):1319.97 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:212748 18-07-31 03:11:54][HTSNetworkProfile] log network(AFNetworking) total_speed(count:551):1771.17 KB/s, recent_speed(count:10):1319.97 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:212525 18-07-31 03:12:04][HTSNetworkProfile] log network(AFNetworking) total_speed(count:551):1771.17 KB/s, recent_speed(count:10):1319.97 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:212832 18-07-31 03:12:14][HTSNetworkProfile] log network(AFNetworking) total_speed(count:551):1771.17 KB/s, recent_speed(count:10):1319.97 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:212832 18-07-31 03:12:24][HTSNetworkProfile] log network(AFNetworking) total_speed(count:551):1771.17 KB/s, recent_speed(count:10):1319.97 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:212832 18-07-31 03:12:34][HTSNetworkProfile] log network(AFNetworking) total_speed(count:551):1771.17 KB/s, recent_speed(count:10):1319.97 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:212858 18-07-31 03:12:44][HTSNetworkProfile] log network(AFNetworking) total_speed(count:551):1771.17 KB/s, recent_speed(count:10):1319.97 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:212832 18-07-31 03:12:54][HTSNetworkProfile] log network(AFNetworking) total_speed(count:551):1771.17 KB/s, recent_speed(count:10):1319.97 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213012 18-07-31 03:13:04][HTSNetworkProfile] log network(AFNetworking) total_speed(count:551):1771.17 KB/s, recent_speed(count:10):1319.97 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:212858 18-07-31 03:13:14][HTSNetworkProfile] log network(AFNetworking) total_speed(count:551):1771.17 KB/s, recent_speed(count:10):1319.97 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213012 18-07-31 03:13:24][HTSNetworkProfile] log network(AFNetworking) total_speed(count:551):1771.17 KB/s, recent_speed(count:10):1319.97 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213095 18-07-31 03:13:34][HTSNetworkProfile] log network(AFNetworking) total_speed(count:552):1771.25 KB/s, recent_speed(count:10):1489.55 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:212858 18-07-31 03:13:44][HTSNetworkProfile] log network(AFNetworking) total_speed(count:552):1771.25 KB/s, recent_speed(count:10):1489.55 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213095 18-07-31 03:13:54][HTSNetworkProfile] log network(AFNetworking) total_speed(count:553):1768.69 KB/s, recent_speed(count:10):1344.02 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213148 18-07-31 03:14:04][HTSNetworkProfile] log network(AFNetworking) total_speed(count:553):1768.69 KB/s, recent_speed(count:10):1344.02 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213012 18-07-31 03:14:14][HTSNetworkProfile] log network(AFNetworking) total_speed(count:553):1768.69 KB/s, recent_speed(count:10):1344.02 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:212858 18-07-31 03:14:24][HTSNetworkProfile] log network(AFNetworking) total_speed(count:553):1768.69 KB/s, recent_speed(count:10):1344.02 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:212858 18-07-31 03:14:34][HTSNetworkProfile] log network(AFNetworking) total_speed(count:553):1768.69 KB/s, recent_speed(count:10):1344.02 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:212858 18-07-31 03:14:44][HTSNetworkProfile] log network(AFNetworking) total_speed(count:553):1768.69 KB/s, recent_speed(count:10):1344.02 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:212858 18-07-31 03:14:54][HTSNetworkProfile] log network(AFNetworking) total_speed(count:553):1768.69 KB/s, recent_speed(count:10):1344.02 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:212858 18-07-31 03:15:04][HTSNetworkProfile] log network(AFNetworking) total_speed(count:553):1768.69 KB/s, recent_speed(count:10):1344.02 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213457 18-07-31 03:15:14][HTSNetworkProfile] log network(AFNetworking) total_speed(count:553):1768.69 KB/s, recent_speed(count:10):1344.02 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213457 18-07-31 03:15:24][HTSNetworkProfile] log network(AFNetworking) total_speed(count:553):1768.69 KB/s, recent_speed(count:10):1344.02 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213524 18-07-31 03:15:34][HTSNetworkProfile] log network(AFNetworking) total_speed(count:554):1769.74 KB/s, recent_speed(count:10):1416.09 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213555 18-07-31 03:15:44][HTSNetworkProfile] log network(AFNetworking) total_speed(count:554):1769.74 KB/s, recent_speed(count:10):1416.09 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213457 18-07-31 03:15:54][HTSNetworkProfile] log network(AFNetworking) total_speed(count:554):1769.74 KB/s, recent_speed(count:10):1416.09 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213613 18-07-31 03:16:04][HTSNetworkProfile] log network(AFNetworking) total_speed(count:554):1769.74 KB/s, recent_speed(count:10):1416.09 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213457 18-07-31 03:16:14][HTSNetworkProfile] log network(AFNetworking) total_speed(count:554):1769.74 KB/s, recent_speed(count:10):1416.09 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213678 18-07-31 03:16:24][HTSNetworkProfile] log network(AFNetworking) total_speed(count:554):1769.74 KB/s, recent_speed(count:10):1416.09 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213678 18-07-31 03:16:34][HTSNetworkProfile] log network(AFNetworking) total_speed(count:554):1769.74 KB/s, recent_speed(count:10):1416.09 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213613 18-07-31 03:16:44][HTSNetworkProfile] log network(AFNetworking) total_speed(count:554):1769.74 KB/s, recent_speed(count:10):1416.09 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213795 18-07-31 03:16:54][HTSNetworkProfile] log network(AFNetworking) total_speed(count:554):1769.74 KB/s, recent_speed(count:10):1416.09 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213795 18-07-31 03:17:04][HTSNetworkProfile] log network(AFNetworking) total_speed(count:554):1769.74 KB/s, recent_speed(count:10):1416.09 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213795 18-07-31 03:17:14][HTSNetworkProfile] log network(AFNetworking) total_speed(count:554):1769.74 KB/s, recent_speed(count:10):1416.09 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:213613 18-07-31 03:17:24][HTSNetworkProfile] log network(AFNetworking) total_speed(count:554):1769.74 KB/s, recent_speed(count:10):1416.09 KB/s
