Call Backtrace of 25 threads:
Backtrace of Thread 771:
libobjc.A.dylib                 0x184194928 objc_msgSend + 40
UIKit                           0x18eb879f4 <redacted> + 72
UIKit                           0x18ee5a0e4 <redacted> + 88
UIKit                           0x18eb6f6c0 <redacted> + 432
UIKit                           0x18ee5a100 <redacted> + 116
UIKit                           0x18eb6f6c0 <redacted> + 432
UIKit                           0x18ee5a100 <redacted> + 116
UIKit                           0x18eb6f6c0 <redacted> + 432
UIKit                           0x18ee5a100 <redacted> + 116
UIKit                           0x18eb6f6c0 <redacted> + 432
UIKit                           0x18ee5a100 <redacted> + 116
UIKit                           0x18eb6f6c0 <redacted> + 432
UIKit                           0x18ee5a100 <redacted> + 116
UIKit                           0x18eb6f6c0 <redacted> + 432
UIKit                           0x18ee5a100 <redacted> + 116
UIKit                           0x18eb6f6c0 <redacted> + 432
UIKit                           0x18ee5a100 <redacted> + 116
UIKit                           0x18eb6f6c0 <redacted> + 432
UIKit                           0x18ee5a100 <redacted> + 116
UIKit                           0x18eb6f6c0 <redacted> + 432
UIKit                           0x18efcec0c <redacted> + 544
UIKit                           0x18ebadcd0 <redacted> + 100
UIKit                           0x18ebff3e8 <redacted> + 1448
UIKit                           0x18ebfe60c <redacted> + 2672
UIKit                           0x18ebfdb7c <redacted> + 72
UIKit                           0x18ebfdb00 <redacted> + 164
UIKit                           0x18ebedfe4 <redacted> + 2428
UIKit                           0x18ebed654 <redacted> + 68
UIKit                           0x18ebed4b0 <redacted> + 400
UIKit                           0x18ec86350 <redacted> + 112
LiveStreaming                   0x102f819b0 -[CYLTabBarController(IndexChangeNotification) setSelectedViewController:] + 156
UIKit                           0x18ef05604 <redacted> + 612
UIKit                           0x18ecf66c8 <redacted> + 96
LiveStreaming                   0x103e889d0 -[UIApplication(MemoryLeak) swizzled_sendAction:to:from:forEvent:] + 264
UIKit                           0x18ef05334 <redacted> + 528
UIKit                           0x18ecf66c8 <redacted> + 96
LiveStreaming                   0x103e889d0 -[UIApplication(MemoryLeak) swizzled_sendAction:to:from:forEvent:] + 264
UIKit                           0x18ee178a4 <redacted> + 80
UIKit                           0x18ecfc77c <redacted> + 440
UIKit                           0x18f216af8 <redacted> + 120
UIKit                           0x18ecf66c8 <redacted> + 96
LiveStreaming                   0x103e889d0 -[UIApplication(MemoryLeak) swizzled_sendAction:to:from:forEvent:] + 264
UIKit                           0x18ee178a4 <redacted> + 80
UIKit                           0x18ecfc77c <redacted> + 440
UIKit                           0x18ee321dc <redacted> + 572
UIKit                           0x18f2d7dd8 <redacted> + 4340
UIKit                           0x18f2d4b50 <redacted> + 1236
CoreFoundation                  0x184f6e910 <redacted> + 32
CoreFoundation                  0x184f6c238 <redacted> + 412
CoreFoundation                  0x184f6c884 <redacted> + 1436

Backtrace of Thread 3075:
libsystem_kernel.dylib          0x184a2be08 mach_msg_trap + 8
libsystem_kernel.dylib          0x184a2bc80 mach_msg + 72
libsystem_kernel.dylib          0x184a2df34 thread_get_state + 136
LiveStreaming                   0x10412e600 bs_mach_copyMem + 60
LiveStreaming                   0x10412dd40 _bs_backtraceOfThread + 636
LiveStreaming                   0x10412e498 +[BSBacktraceLogger bs_backtraceOfAllThread] + 220
LiveStreaming                   0x103b9dcd0 __40+[IESDebugToolService startStuckMonitor]_block_invoke + 204
LiveStreaming                   0x103b9b150 __36-[IESDebugStuckMonitor startMonitor]_block_invoke_2 + 112
CoreFoundation                  0x184f5ff38 <redacted> + 76
LiveStreaming                   0x103b9b048 __36-[IESDebugStuckMonitor startMonitor]_block_invoke + 436
Foundation                      0x1859eee88 <redacted> + 16
Foundation                      0x1859308d0 <redacted> + 72
Foundation                      0x18592fcac <redacted> + 848
Foundation                      0x1859f076c <redacted> + 404
libdispatch.dylib               0x10d949220 _dispatch_client_callout + 16
libdispatch.dylib               0x10d9564d8 _dispatch_continuation_pop + 588
libdispatch.dylib               0x10d954dc8 _dispatch_async_redirect_invoke + 628
libdispatch.dylib               0x10d95a84c _dispatch_root_queue_drain + 604
libdispatch.dylib               0x10d95a584 _dispatch_worker_thread3 + 136
libsystem_pthread.dylib         0x184bebfac _pthread_wqthread + 1176

Backtrace of Thread 9731:
libsystem_kernel.dylib          0x184a4d610 __semwait_signal + 8
libsystem_c.dylib               0x18496612c nanosleep + 212
libsystem_c.dylib               0x18496604c usleep + 64
GPUToolsCore                    0x10d9ce2bc _ZL21smt_poll_thread_entryPv + 136
libsystem_pthread.dylib         0x184bed220 <redacted> + 272
libsystem_pthread.dylib         0x184bed110 _pthread_start + 292

Backtrace of Thread 7687:
libsystem_kernel.dylib          0x184a4d610 __semwait_signal + 8
libsystem_c.dylib               0x18496612c nanosleep + 212
libsystem_c.dylib               0x18496604c usleep + 64
GPUToolsCore                    0x10d9ce2bc _ZL21smt_poll_thread_entryPv + 136
libsystem_pthread.dylib         0x184bed220 <redacted> + 272
libsystem_pthread.dylib         0x184bed110 _pthread_start + 292

Backtrace of Thread 5395:
libsystem_kernel.dylib          0x184a4d0f4 __psynch_cvwait + 8
libsystem_pthread.dylib         0x184befc90 <redacted> + 644
libc++.1.dylib                  0x18410425c _ZNSt3__118condition_variable4waitERNS_11unique_lockINS_5mutexEEE + 24
JavaScriptCore                  0x18c5e31a4 <redacted> + 104
JavaScriptCore                  0x18c5e2db8 <redacted> + 164
JavaScriptCore                  0x18c5e2b60 <redacted> + 12
JavaScriptCore                  0x18c5e2f7c <redacted> + 44
libsystem_pthread.dylib         0x184bed220 <redacted> + 272
libsystem_pthread.dylib         0x184bed110 _pthread_start + 292

Backtrace of Thread 21511:
libsystem_kernel.dylib          0x184a2be08 mach_msg_trap + 8
libsystem_kernel.dylib          0x184a2bc80 mach_msg + 72
CoreFoundation                  0x184f6ee40 <redacted> + 196
CoreFoundation                  0x184f6c908 <redacted> + 1568
CoreFoundation                  0x184e8cda8 CFRunLoopRunSpecific + 552
WebCore                         0x18d119dcc <redacted> + 592
libsystem_pthread.dylib         0x184bed220 <redacted> + 272
libsystem_pthread.dylib         0x184bed110 _pthread_start + 292

Backtrace of Thread 13827:
libsystem_kernel.dylib          0x184a2be08 mach_msg_trap + 8
libsystem_kernel.dylib          0x184a2bc80 mach_msg + 72
CoreFoundation                  0x184f6ee40 <redacted> + 196
CoreFoundation                  0x184f6c908 <redacted> + 1568
CoreFoundation                  0x184e8cda8 CFRunLoopRunSpecific + 552
Foundation                      0x185901674 <redacted> + 304
Foundation                      0x18590151c <redacted> + 148
UIKit                           0x18eb527e4 <redacted> + 136
Foundation                      0x185a11efc <redacted> + 1040
libsystem_pthread.dylib         0x184bed220 <redacted> + 272
libsystem_pthread.dylib         0x184bed110 _pthread_start + 292

Backtrace of Thread 37127:
libsystem_kernel.dylib          0x184a2be08 mach_msg_trap + 8
libsystem_kernel.dylib          0x184a2bc80 mach_msg + 72
CoreFoundation                  0x184f6ee40 <redacted> + 196
CoreFoundation                  0x184f6c908 <redacted> + 1568
CoreFoundation                  0x184e8cda8 CFRunLoopRunSpecific + 552
Foundation                      0x185901674 <redacted> + 304
Foundation                      0x1859761a8 <redacted> + 88
LiveStreaming                   0x102beffac +[AFURLConnectionOperation networkRequestThreadEntryPoint:] + 308
Foundation                      0x185a11efc <redacted> + 1040
libsystem_pthread.dylib         0x184bed220 <redacted> + 272
libsystem_pthread.dylib         0x184bed110 _pthread_start + 292

Backtrace of Thread 32775:
libsystem_kernel.dylib          0x184a2be08 mach_msg_trap + 8
libsystem_kernel.dylib          0x184a2bc80 mach_msg + 72
CoreFoundation                  0x184f6ee40 <redacted> + 196
CoreFoundation                  0x184f6c908 <redacted> + 1568
CoreFoundation                  0x184e8cda8 CFRunLoopRunSpecific + 552
CFNetwork                       0x18579a4b0 <redacted> + 220
Foundation                      0x185a11efc <redacted> + 1040
libsystem_pthread.dylib         0x184bed220 <redacted> + 272
libsystem_pthread.dylib         0x184bed110 _pthread_start + 292

Backtrace of Thread 52499:
libsystem_kernel.dylib          0x184a2be08 mach_msg_trap + 8
libsystem_kernel.dylib          0x184a2bc80 mach_msg + 72
CoreFoundation                  0x184f6ee40 <redacted> + 196
CoreFoundation                  0x184f6c908 <redacted> + 1568
CoreFoundation                  0x184e8cda8 CFRunLoopRunSpecific + 552
AVFAudio                        0x18a972424 <redacted> + 164
AVFAudio                        0x18a99c834 <redacted> + 88
libsystem_pthread.dylib         0x184bed220 <redacted> + 272
libsystem_pthread.dylib         0x184bed110 _pthread_start + 292

Backtrace of Thread 68659:
libsystem_kernel.dylib          0x184a2be08 mach_msg_trap + 8
libsystem_kernel.dylib          0x184a2bc80 mach_msg + 72
CoreFoundation                  0x184f6ee40 <redacted> + 196
CoreFoundation                  0x184f6c908 <redacted> + 1568
CoreFoundation                  0x184e8cda8 CFRunLoopRunSpecific + 552
CoreFoundation                  0x184edcb28 CFRunLoopRun + 116
CoreMotion                      0x18a46d9dc CLStartStopAdvertisingBeacon + 231572
libsystem_pthread.dylib         0x184bed220 <redacted> + 272
libsystem_pthread.dylib         0x184bed110 _pthread_start + 292

Backtrace of Thread 64531:
libsystem_kernel.dylib          0x184a2be08 mach_msg_trap + 8
libsystem_kernel.dylib          0x184a2bc80 mach_msg + 72
CoreFoundation                  0x184f6ee40 <redacted> + 196
CoreFoundation                  0x184f6c908 <redacted> + 1568
CoreFoundation                  0x184e8cda8 CFRunLoopRunSpecific + 552
GeoServices                     0x18b2356cc <redacted> + 468
libsystem_pthread.dylib         0x184bed220 <redacted> + 272
libsystem_pthread.dylib         0x184bed110 _pthread_start + 292

Backtrace of Thread 60179:
libsystem_kernel.dylib          0x184a2be08 mach_msg_trap + 8
libsystem_kernel.dylib          0x184a2bc80 mach_msg + 72
CoreFoundation                  0x184f6ee40 <redacted> + 196
CoreFoundation                  0x184f6c908 <redacted> + 1568
CoreFoundation                  0x184e8cda8 CFRunLoopRunSpecific + 552
Foundation                      0x185901674 <redacted> + 304
LiveStreaming                   0x104048d24 -[_SRRunLoopThread main] + 360
Foundation                      0x185a11efc <redacted> + 1040
libsystem_pthread.dylib         0x184bed220 <redacted> + 272
libsystem_pthread.dylib         0x184bed110 _pthread_start + 292

Backtrace of Thread 170511:
libsystem_kernel.dylib          0x184a4d538 select$DARWIN_EXTSN + 8
CoreFoundation                  0x184f77378 <redacted> + 644
libsystem_pthread.dylib         0x184bed220 <redacted> + 272
libsystem_pthread.dylib         0x184bed110 _pthread_start + 292

Backtrace of Thread 164103:
libsystem_kernel.dylib          0x184a2be08 mach_msg_trap + 8
libsystem_kernel.dylib          0x184a2bc80 mach_msg + 72
CoreFoundation                  0x184f6ee40 <redacted> + 196
CoreFoundation                  0x184f6c908 <redacted> + 1568
CoreFoundation                  0x184e8cda8 CFRunLoopRunSpecific + 552
Foundation                      0x185901674 <redacted> + 304
LiveStreaming                   0x104b32708 +[WXOMTAGCDAsyncSocket cfstreamThread] + 360
Foundation                      0x185a11efc <redacted> + 1040
libsystem_pthread.dylib         0x184bed220 <redacted> + 272
libsystem_pthread.dylib         0x184bed110 _pthread_start + 292

Backtrace of Thread 119571:
libsystem_kernel.dylib          0x184a303e4 poll + 8
ZegoLiveRoom                    0x10acb3398 0x10ab78000 + 1291160
ZegoLiveRoom                    0x10acb744c 0x10ab78000 + 1307724
ZegoLiveRoom                    0x10acb71ec 0x10ab78000 + 1307116
ZegoLiveRoom                    0x10acbb5bc 0x10ab78000 + 1324476
libsystem_pthread.dylib         0x184bed220 <redacted> + 272
libsystem_pthread.dylib         0x184bed110 _pthread_start + 292

Backtrace of Thread 67447:
libsystem_kernel.dylib          0x184a303e4 poll + 8
ZegoLiveRoom                    0x10acb3398 0x10ab78000 + 1291160
ZegoLiveRoom                    0x10acb744c 0x10ab78000 + 1307724
ZegoLiveRoom                    0x10acb71ec 0x10ab78000 + 1307116
ZegoLiveRoom                    0x10acbb5bc 0x10ab78000 + 1324476
libsystem_pthread.dylib         0x184bed220 <redacted> + 272
libsystem_pthread.dylib         0x184bed110 _pthread_start + 292

Backtrace of Thread 119815:
libsystem_kernel.dylib          0x184a303e4 poll + 8
ZegoLiveRoom                    0x10acb3398 0x10ab78000 + 1291160
ZegoLiveRoom                    0x10acb744c 0x10ab78000 + 1307724
ZegoLiveRoom                    0x10acb71ec 0x10ab78000 + 1307116
ZegoLiveRoom                    0x10acbb5bc 0x10ab78000 + 1324476
libsystem_pthread.dylib         0x184bed220 <redacted> + 272
libsystem_pthread.dylib         0x184bed110 _pthread_start + 292

Backtrace of Thread 151331:
libsystem_kernel.dylib          0x184a303e4 poll + 8
ZegoLiveRoom                    0x10acb3398 0x10ab78000 + 1291160
ZegoLiveRoom                    0x10acb744c 0x10ab78000 + 1307724
ZegoLiveRoom                    0x10acb71ec 0x10ab78000 + 1307116
ZegoLiveRoom                    0x10acbb5bc 0x10ab78000 + 1324476
libsystem_pthread.dylib         0x184bed220 <redacted> + 272
libsystem_pthread.dylib         0x184bed110 _pthread_start + 292

Backtrace of Thread 147723:
libsystem_kernel.dylib          0x184a303e4 poll + 8
ZegoLiveRoom                    0x10acb3398 0x10ab78000 + 1291160
ZegoLiveRoom                    0x10acb744c 0x10ab78000 + 1307724
ZegoLiveRoom                    0x10acb71ec 0x10ab78000 + 1307116
ZegoLiveRoom                    0x10acbb5bc 0x10ab78000 + 1324476
libsystem_pthread.dylib         0x184bed220 <redacted> + 272
libsystem_pthread.dylib         0x184bed110 _pthread_start + 292

Backtrace of Thread 146439:
libsystem_kernel.dylib          0x184a4d0f4 __psynch_cvwait + 8
libsystem_pthread.dylib         0x184befc90 <redacted> + 644
ZegoLiveRoom                    0x10ad0e024 0x10ab78000 + 1663012
libsystem_pthread.dylib         0x184bed220 <redacted> + 272
libsystem_pthread.dylib         0x184bed110 _pthread_start + 292

Backtrace of Thread 76843:
libsystem_kernel.dylib          0x184a4dd84 __workq_kernreturn + 8
libsystem_pthread.dylib         0x184bec0a0 _pthread_wqthread + 1420

Backtrace of Thread 47255:
libsystem_kernel.dylib          0x184a4dd84 __workq_kernreturn + 8
libsystem_pthread.dylib         0x184bebeb4 _pthread_wqthread + 928

Backtrace of Thread 175383:
libsystem_kernel.dylib          0x184a4dd84 __workq_kernreturn + 8
libsystem_pthread.dylib         0x184bebeb4 _pthread_wqthread + 928

Backtrace of Thread 127251:
libsystem_kernel.dylib          0x184a4dd84 __workq_kernreturn + 8
libsystem_pthread.dylib         0x184bec0a0 _pthread_wqthread + 1420

